a	hế nhô
a going	đang chạy, đang chuyển động
a-road	đường lớn, không quan trọng bằng xa lộ
abandon	(v) /ə'bændən/ bỏ, từ bỏ
abandoned	(adj) /ə'bændənd/ bị bỏ rơi, bị ruồng bỏ
ability	(n) /ə'biliti/ khả năng, năng lực
able	có năng lực, có tài
about	khoảng chừng,gần
above	(adv) /ə'bʌv/ ở trên, lên trên
abroad	(adv) /ə'brɔ:d/ ở, ra nước ngoài, ngoài trời
absence	(n) /'æbsəns/ sự vắng mặt
absent	(adj) /'æbsənt/ vắng mặt, nghỉ
absolute	(adj) /'æbsəlu:t/ tuyệt đối, hoàn toàn
absolutely	(adv) /'æbsəlu:tli/ tuyệt đối, hoàn toàn
absorb	(v) /əb'sɔ:b/ thu hút, hấp thu, lôi cuốn
abuse	(n) (v) /ə'bju:s/ lộng hành, lạm dụng
academic	(adj) /,ækə'demik/ thuộc học viện, ĐH, viện hàn lâm
accent	(n) /'æksənt/ trọng âm, dấu trọng âm
accept	(v) /ək'sept/ chấp nhận, chấp thuận
acceptable	(adj)  /ək'septəbl/ có thể chấp nhận, chấp thuận
access	n. /'ækses/ lối, cửa, đường vào
accident	n. /'æksidənt/ tai nạn, rủi ro
accidental	adj. /,æksi'dentl/ tình cờ, bất ngờ
accidentally	adv. /,æksi'dentəli/ tình cờ, ngẫu nhiên
accommodation	n. /ə,kɔmə'deiʃn/ sự thích nghi, điều tiết
accompany	v. /ə'kʌmpəni/ đi theo, đi cùng, kèm theo
according to	prep. /ə'kɔ:diɳ/ theo, y theo
account	n., v. /ə'kaunt/ tài khoản, kế toán; tính toán, tính đến
accurate	adj. /'ækjurit/ đúng đắn, chính xác, xác đáng
accurately	adv. /'ækjuritli/ đúng đắn, chính xác
accuse	v. /ə'kju:z/ tố cáo, buộc tội, kết tội
achieve	v. /ə'tʃi:v/ đạt được, dành được
achievement	n. /ə'tʃi:vmənt/ thành tích, thành tựu
acid	n. /'æsid/ axit
acknowledge	v. /ək'nɔlidʤ/ công nhận, thừa nhận
acquire	v. /ə'kwaiə/ dành được, đạt được, kiếm được
across	adv., prep. /ə'krɔs/ qua, ngang qua
across	băng qua
act	n., v. /ækt/ hành động, hành vi, cử chỉ, đối xử
action	n. /'ækʃn/ hành động, hành vi, tác động
active	adj. /'æktiv/ tích cực hoạt động, nhanh nhẹn
actively	adv. /'æktivli/
activity	n. /æk'tiviti/
actress	n. /'æktə/ /'æktris/ diễn viên
actual	adj. /'æktjuəl/ thực tế, có thật
actually	adv. /'æktjuəli/ hiện nay, hiện tại
adapt	v. /ə'dæpt/ tra, lắp vào
add	v. /æd/ cộng, thêm vào
add	thêm vào, làm tăng thêm
advertisement	/əd'və:tismənt/ quảng cáo
after	sau, đằng sau, sau khi
again	lại, lần nữa
against	chống lại, ngược lại, phản đối
aggressive	hung hăng
ago	trước đây, về trước
agreement	sự thỏa thuận
air	không khí, bầu không khí
all	tất cả, hết thảy, toàn bộ
almost	hầu như, gần như, suýt
also	cũng, cũng vậy
ambitious	tham vọng
among	giữa, ở giữa, trong số
an	một, một(nào đó)
and	và, cùng, với, còn
animal	động vật, thú vật
another	khác
answer	trả lời, đáp lại, câu trả lời
any	bất cứ việc gì, bất cứ ai(ý khẳng định)
as	khi, lúc, do, bởi
assurance	đảm bảo, chắc chắn
at	ở tại (chỉ vị trí, khoảng cách), vào lúc(chỉ thời gian)
away	xa, xa cách, biến mất
back	n., adj., adv., v. /bæk/ lưng, về phía sau, trở lại
back	lưng, đằng sau, mặt sau
background	n. /'bækgraund/ phía sau; nền
backward	adj. /'bækwəd/ về phía sau, lùi lại
backwards (also backward especially in NAmE)	adv. /'bækwədz/
bacteria	n. /bæk'tiəriəm/ vi khuẩn
bad	adj. /bæd/ xấu, tồi
bad-tempered	adj. /'bæd'tempəd/ xấu tính, dễ nổi cáu
badly	adv. /'bædli/ xấu, tồi
bag	n. /bæg/ bao, túi, cặp xách
bake	v. /beik/ nung, nướng bằng lò
balance	n., v. /'bæləns/ cái cân; làm cho cân bằng, tương xứng
ball	n. /bɔ:l/ quả bóng
ban	v., n. /bæn/ cấm, cấm chỉ; sự cấm
band	n. /bænd/ băng, đai, nẹp
bandage	n., v. /'bændidʤ/ dải băng; băng bó
bank	n. /bæɳk/ bờ (sông…) , đê
bank	ngân hàng
bar	n. /bɑ:/ quán bán rượu
bargain	n. /'bɑ:gin/ sự mặc cả, sự giao kèo mua bán
